Escheren		
Escheri		
Escherin		
Eschern		
Eschers		
Eschicken		
Eschiken	176001	
Eschman		
Eschren		
Eslinger		
Eslingero		
Esslingen	192001	
Esslinger		
Eßlingen	192001	
Eßlinger		
Eßlingeren		
Eßlingern		
Eßlingers		
Ester		
Esterli		
Esther		
Estheren		
Estherli		
Etenh[ausen]	175001	
Etenhausen	175001	
Ettenhausen	175001	
Ettenhusen	175001	
Ettlich[er]		
Eüphrasina		
Europam		
Eustachius		
Eva		
Excus[ierte]		
Extrahirt		
Extraordinar		
Eyäkeren		
Eych	158047	
Eygelthingen	*	
Eynschlage		
Ezech[ielis]		
F[els]		
Fabi		
Fächen		
Fæsi		
Fæsii		
Fäggschwyl	118010	Unter-Fägswil
Fägschweil	118010	
Fahnenjunkher		
Fahrmub		
